نام,تعداد آثار,اولین سال همکاری
"بهروز خدارحمی",23,1398
"شهاب الدین شمس",20,1399
"محمدعلی اسماعیل‌پور قمشه‌ای",10,1383
"فریدون رهنمای رودپشتی",5,1398
"حیدر فروغ نژاد",4,1398
"شاهین احمدی",4,1398
"رضا تهرانی",3,1397
"امید فرجی",3,1399
"ابوالفضل شهرآبادی",2,1394
"ابراهیم عباسی",2,1397
"علی صالح آبادی",2,1397
"عبدالساده نیسی",2,1398
"موسی احمدی",2,1398
"بیتا مشایخی",2,1399
"محمد سیرانی",2,1400
"مریم معصومی",2,1400
"محمدرضا یاسینی",1,1387
"ناصر مکارم شیرازی",1,1389
"محمدحسین زمانی",1,1391
"سیدمهدی میرمسیب",1,1393
"غدیرعلی ممیز",1,1393
"حامد تاجمیر ریاحی",1,1394
"سیدمحمد هاشمی نژاد",1,1395
"شهلا کشاورزنژاد",1,1395
"علی سعیدی",1,1395
"مهدی صالحی فرهادپور",1,1395
"هادی جمالیان",1,1396
"مجید افشاری",1,1397
"محمدعلی میرزاکوچک شیرازی",1,1397
"میثم دعایی",1,1397
"میثم فدایی واحد",1,1397
"امیرسینا جیرفتی",1,1398
"جواد عشقی نژاد",1,1398
"سهیلا نجف پور",1,1398
"شکیبا پورمند",1,1398
"مانی الهی",1,1398
"محمداسماعیل فدائی نژاد",1,1398
"مهدی کنعانی",1,1398
"حسن قالیباف اصل",1,1399
"روح اله گنجی",1,1399
"سعید مستشار",1,1399
"امین آذریان",1,1400
"ذبیح‌اله رضایی",1,1400
"روح اله فرهادی",1,1400
"سیدمحمدجواد فرهانیان",1,1400
"علی عبدالهی",1,1400
"غلامرضا کرمی",1,1400
"محمد غواصی کناری",1,1400
"محمدمهدی مؤمن‌زاده",1,1400
"علی ناظمی",1,1401
"محمد ندیری",1,1401
"سعید باجلان",1,1402
"سیدمحسن موسوی",1,1402
"محمدرضا سیمیاری",1,1402
"سیدعلی غروی",1,1403
